Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Random Speed Offset,GRU,0,0.8592161016949152,0.9662854419823683,0.909610855668947,0.9878369917130408,8394,44259
Reversed Heading,GRU,0,0.8533518064584887,0.9684325108853411,0.9072573791853152,0.9889629555679642,8268,44259
Sudden Constant Speed,GRU,0,0.44286156704862184,0.9102482495225971,0.5958333333333333,0.8928538717510958,1571,44259
Sudden Stop,GRU,0,0.63887093298858,0.7525380710659898,0.6910616478265936,0.7901379630021836,3940,44259
Time Delay,GRU,0,0.16625916870415647,0.03133640552995392,0.05273361768127181,0.17950096524568282,8680,44259
Traffic Congestion Sybil,GRU,0,0.9557059699472046,0.890601740885581,0.9220060075747681,0.9655782208095929,39635,83894
Zero Speed Report,GRU,0,0.8576790741319987,0.9781212841854935,0.9139492250430532,0.9917248569393827,8410,44259
Acceleration Multiplication,GAT,0,0.8234169653524492,0.8390552714877039,0.8311625663289918,0.8968057093379421,4107,44259
Constant Position Offset,GAT,0,0.9311437145715239,0.6412169919632607,0.7594506391079685,0.7878290516446449,8710,44259
Constant Speed Offset,GAT,0,0.9615243679003298,0.8844943820224719,0.921402235617721,0.9473651782521533,8900,44259
Data Replay,GAT,0,0.7413706853426714,0.1695070341987876,0.2759262707130888,0.4258386755448538,8743,44259
DoS,GAT,0,0.9679820415879017,1.0,0.9837305637269617,0.9999949439754493,8193,44259
Feigned Braking,GAT,0,0.8760555706891855,0.919908466819222,0.8974466303892842,0.9554970469885437,3496,44259
Position Mirroring,GAT,0,0.8227974116475859,0.17186525265127886,0.2843381783779135,0.4518827601563637,9618,44259
Random Position Offset,GAT,0,0.9616438356164384,0.975,0.9682758620689655,0.9916490359056521,8280,44259
Random Speed Offset,GAT,0,0.9562484594527977,0.9243507267095544,0.940029076811243,0.9700296807242437,8394,44259
Reversed Heading,GAT,0,0.9638194703468855,0.9375907111756169,0.9505241861320581,0.9816809167956766,8268,44259
Sudden Constant Speed,GAT,0,0.6014463640016071,0.9528962444302992,0.7374384236453202,0.8888047291998172,1571,44259
Sudden Stop,GAT,0,0.7993130520117763,0.4134517766497462,0.5449983271997324,0.6703742535048844,3940,44259
Time Delay,GAT,0,0.0985576923076923,0.004723502304147465,0.00901495162708883,0.18287940427310073,8680,44259
Traffic Congestion Sybil,GAT,0,0.9891439980034938,1.0,0.9945423750078414,0.9999367195736396,39635,83894
Zero Speed Report,GAT,0,0.961281868000953,0.9594530321046373,0.9603665793858606,0.9927010719719918,8410,44259
Acceleration Multiplication,RAVEN-X,0,0.7113223854796888,0.6011687363038715,0.6516231195566112,0.7349465416372385,4107,44259
Constant Position Offset,RAVEN-X,0,0.9152886961236107,0.7753157290470724,0.8395077076081552,0.876537119748864,8710,44259
Constant Speed Offset,RAVEN-X,0,0.9481170572461234,0.9137078651685393,0.9305944956228186,0.9724849652496036,8900,44259
Data Replay,RAVEN-X,0,0.871407367426798,0.7386480613061878,0.7995542899591432,0.8719864080140464,8743,44259
DoS,RAVEN-X,0,0.9319758844272551,1.0,0.964790390956194,0.9999727716405825,8193,44259
