Test,Model,Seed,F1,Recall,PR-AUC,ECE,in-domain F1,in-domain Recall,in-domain PR-AUC,in-domain ECE,ΔF1 (cross - in)
highway_2 → highway_7,XGBoost,0,0.8208019302254204,0.7851978419466522,0.8669143074714921,0.037433460795780284,0.7960117611580217,0.7598906041959048,0.85396262659252,0.02992848841864671,0.024790169067398615
highway_2 → highway_7,RAVEN-X,0,0.6814463874247414,0.859885572605935,0.8377240199542044,0.14855479166565638,0.8672154549984825,0.8328907121522905,0.9142169213231065,0.03642051162200092,-0.18576906757374112
highway_2 → highway_7,RAVEN-X-GF,0,0.6162152006454251,0.9094979630618911,0.8684455961167039,0.21933572447855915,0.8820773253529216,0.840044621972723,0.9189466752462553,0.02657501024258875,-0.2658621247074965
highway_2 → urban_2,XGBoost,0,0.8519964061511439,0.785772141106256,0.8860621366710035,0.013625143988071412,0.7960117611580217,0.7598906041959048,0.85396262659252,0.02992848841864671,0.05598464499312217
highway_2 → urban_2,RAVEN-X,0,0.8891498612598047,0.8674304593413621,0.9334165255793682,0.030968327074099432,0.8672154549984825,0.8328907121522905,0.9142169213231065,0.03642051162200092,0.021934406261322148
highway_2 → urban_2,RAVEN-X-GF,0,0.9048018781461838,0.8759138868165832,0.9386737613130833,0.032430552147073265,0.8745126678276501,0.8402893231134622,0.9177998373006786,0.04064912076633656,0.03028921031853371
highway_7 → highway_2,XGBoost,0,0.8086774816878624,0.7770916549713915,0.8579110606007223,0.007192106218214282,0.8545756145766942,0.8392959819917544,0.8778303369104614,0.03456586372635594,-0.04589813288883182
highway_7 → highway_2,RAVEN-X,0,0.8474474298208285,0.831278563460362,0.904232549886661,0.0297896080862542,0.8386005435891576,0.8379747248400422,0.9157692208168912,0.02926911200622524,0.008846886231670958
highway_7 → highway_2,RAVEN-X-GF,0,0.872307016825796,0.843628773975314,0.9128340461346934,0.08078942708809034,0.8758400159884084,0.8578139718865839,0.9305765222114329,0.04869107130598716,-0.0035329991626124047
highway_7 → urban_2,XGBoost,0,0.8628230391797049,0.8143024618991793,0.8867732311262246,0.01707158897823868,0.8545756145766942,0.8392959819917544,0.8778303369104614,0.03456586372635594,0.008247424603010756
highway_7 → urban_2,RAVEN-X,0,0.8865251898330668,0.8669508685921347,0.9316090329756503,0.019876051736195804,0.8386005435891576,0.8379747248400422,0.9157692208168912,0.02926911200622524,0.04792464624390924
highway_7 → urban_2,RAVEN-X-GF,0,0.8994337479674576,0.8798571885324523,0.9359900497265251,0.06720950008884347,0.8826830549249484,0.8498660392054515,0.9288903495133485,0.03932072107346613,0.0167506930425092
urban_2 → highway_2,XGBoost,0,0.7750424538881353,0.7834178991687358,0.8394750801738828,0.03939356762174096,0.865612927875023,0.8149312586592774,0.8940673391385011,0.006884815538820977,-0.09057047398688767
urban_2 → highway_2,RAVEN-X,0,0.8402179683813119,0.8200870848177336,0.8868355590962692,0.034678340657675694,0.908590658712043,0.8675476926356176,0.9391332059115594,0.013886088164324469,-0.06837269033073112
urban_2 → highway_2,RAVEN-X-GF,0,0.8646064410419091,0.8317103890028429,0.9065138206170906,0.025787629978895422,0.9132135954367605,0.8774485772141106,0.9425476230781595,0.01629871994576346,-0.048607154394851415
urban_2 → highway_7,XGBoost,0,0.8214148454224125,0.8410658141023811,0.8695755715527735,0.032671990399710346,0.865612927875023,0.8149312586592774,0.8940673391385011,0.006884815538820977,-0.044198082452610477
urban_2 → highway_7,RAVEN-X,0,0.8064591865012163,0.8544578156030682,0.9052709350664865,0.04885658573737808,0.9151231517493479,0.8757966535223276,0.9413380269644432,0.009005440189779302,-0.1086639652481316
urban_2 → highway_7,RAVEN-X-GF,0,0.7773909298110228,0.8832237043320107,0.9117999801134081,0.0979527768187356,0.9192537963844486,0.8824096770755622,0.9438190894183276,0.009256570513323785,-0.14186286657342584
