Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Reversed Heading,GAT,0,0.9676411794102948,0.9367440735365263,0.9519419862340216,0.9780606678140751,8268,44259
Sudden Constant Speed,GAT,0,0.602839756592292,0.9458943348185869,0.736372646184341,0.8994470507377699,1571,44259
Sudden Stop,GAT,0,0.8505823627287854,0.6487309644670051,0.7360691144708423,0.8210264059742561,3940,44259
Time Delay,GAT,0,0.13672922252010725,0.005875576036866359,0.011266983320446261,0.19230026655812898,8680,44259
Traffic Congestion Sybil,GAT,0,0.9907666900210189,0.9989907909675791,0.9948617444942776,0.99990646457862,39635,83894
Zero Speed Report,GAT,0,0.9655537267810957,0.9765755053507729,0.9710333412154174,0.9965125692172356,8410,44259
Acceleration Multiplication,RAVEN-X,0,0.7852382127869661,0.7745312880448015,0.779848001961265,0.8476012078398714,4107,44259
Constant Position Offset,RAVEN-X,0,0.9183305601774819,0.760390355912744,0.8319306619771385,0.8627995916472858,8710,44259
Constant Speed Offset,RAVEN-X,0,0.9482005899705015,0.9029213483146067,0.9250071942446043,0.974272714073136,8900,44259
Data Replay,RAVEN-X,0,0.8933024064946361,0.7047924053528537,0.7879291605396075,0.8658649670076601,8743,44259
DoS,RAVEN-X,0,0.9558875014587467,0.9997558891736849,0.9773296742632144,0.9998802030815146,8193,44259
Feigned Braking,RAVEN-X,0,0.8443293347873501,0.8858695652173914,0.8646007816862088,0.928988562128466,3496,44259
Position Mirroring,RAVEN-X,0,0.8899141630901287,0.43117072156373465,0.5808936825885979,0.7128880893977678,9618,44259
Random Position Offset,RAVEN-X,0,0.9486429574169396,0.9793478260869565,0.9637508913715237,0.9938331348242784,8280,44259
Random Speed Offset,RAVEN-X,0,0.9416014449127031,0.9316178222539909,0.9365830289238877,0.9796784661463904,8394,44259
Reversed Heading,RAVEN-X,0,0.9441537899987833,0.9385582970488631,0.9413477285133742,0.9804627345482151,8268,44259
Sudden Constant Speed,RAVEN-X,0,0.6397423191278494,0.821769573520051,0.7194204513792143,0.8463804332994189,1571,44259
Sudden Stop,RAVEN-X,0,0.836186462997103,0.8058375634517766,0.8207315496962647,0.8737324548820165,3940,44259
Time Delay,RAVEN-X,0,0.22006472491909385,0.01566820276497696,0.029253602925360292,0.19375024522018341,8680,44259
Traffic Congestion Sybil,RAVEN-X,0,0.9862642147958295,1.0,0.9930846132645136,0.9998095836643859,39635,83894
Zero Speed Report,RAVEN-X,0,0.9540780556204721,0.9708680142687277,0.9623998114097124,0.9949970513186376,8410,44259
Acceleration Multiplication,RandomForest,1,0.6967936302991177,0.788410031653275,0.73977610235321,0.8330519410450176,4107,44259
Constant Position Offset,RandomForest,1,0.8288137950215547,0.6842709529276694,0.7496383875227973,0.8029382891762996,8710,44259
Constant Speed Offset,RandomForest,1,0.8677933468820195,0.9115730337078651,0.889144610663598,0.9600579840942792,8900,44259
Data Replay,RandomForest,1,0.5649415692821369,0.19352624957108544,0.28829442835235985,0.3492407351979884,8743,44259
DoS,RandomForest,1,0.8654272736875462,1.0,0.9278595696489241,0.9999419258917165,8193,44259
Feigned Braking,RandomForest,1,0.6768920734437975,0.8647025171624714,0.7593569454910827,0.8807051857510043,3496,44259
Position Mirroring,RandomForest,1,0.6346666666666667,0.22270742358078602,0.3297160009235742,0.44253887378557905,9618,44259
Random Position Offset,RandomForest,1,0.8691342402193398,0.9954106280193237,0.9279963970050105,0.994799929694709,8280,44259
Random Speed Offset,RandomForest,1,0.8627075351213283,0.9656897784131523,0.9112984822934233,0.9797810296069678,8394,44259
Reversed Heading,RandomForest,1,0.8660229984812323,0.9655297532656023,0.9130733157954936,0.9884358974074002,8268,44259
Sudden Constant Speed,RandomForest,1,0.460231135282121,0.8618714194780395,0.6000443164192333,0.756273031528011,1571,44259
Sudden Stop,RandomForest,1,0.7077145961608113,0.9918781725888325,0.8260410061297823,0.9482752738197676,3940,44259
Time Delay,RandomForest,1,0.18577834721332478,0.03341013824884793,0.05663509422907919,0.18543671094175398,8680,44259
Traffic Congestion Sybil,RandomForest,1,0.9590632539599286,0.9226945881165637,0.9405274730927,0.981493394217622,39635,83894
Zero Speed Report,RandomForest,1,0.8680281982168775,0.9956004756242568,0.9274479397430218,0.9942444360186845,8410,44259
Acceleration Multiplication,XGBoost,1,0.7745691662785282,0.8098368638909179,0.7918104987501488,0.8834029023101428,4107,44259
Constant Position Offset,XGBoost,1,0.8719940253920836,0.670264064293915,0.757935735150925,0.8040618184371978,8710,44259
Constant Speed Offset,XGBoost,1,0.9088745324719483,0.9010112359550562,0.9049258026293517,0.9714581597064711,8900,44259
Data Replay,XGBoost,1,0.652602523659306,0.18929429257691868,0.2934657327777285,0.38723019716104157,8743,44259
DoS,XGBoost,1,0.9051038444542643,1.0,0.9501884604233111,0.9999997616796028,8193,44259
Feigned Braking,XGBoost,1,0.7724867724867724,0.9605263157894737,0.8563049853372434,0.9690656665102848,3496,44259
Position Mirroring,XGBoost,1,0.6902944383860414,0.1974422956955708,0.3070579674993936,0.4526112571610769,9618,44259
Random Position Offset,XGBoost,1,0.9072620758262407,0.991304347826087,0.9474230969007906,0.9975891279333269,8280,44259
Random Speed Offset,XGBoost,1,0.9020711391265196,0.9547295687395759,0.9276536636184743,0.9880626235967196,8394,44259
